from,to,distance
L7,L7,0
L18,L7,0.604731505264
L26,L7,9.42051372184
L33,L7,8.10679701328
L36,L7,7.25780843168
L38,L7,6.81217442795
L57,L7,6.50378960727
L62,L7,6.33699780639
L63,L7,6.30834379616
L70,L7,6.27157516203
L75,L7,6.30656061763
L76,L7,6.57105129997
L77,L7,6.72605056582
L78,L7,6.6079466385
L79,L7,7.46115208258
L80,L7,8.81131007155
L81,L7,4.95839021512
L82,L7,4.25219891426
L91,L7,4.08518547095
L93,L7,4.44325711696
L99,L7,2.56025457654
L102,L7,2.43386236661
L103,L7,2.60332751096
L106,L7,2.96930581221
L113,L7,10.1682045043
L116,L7,2.27046033051
L122,L7,2.6761621026
L128,L7,3.0811314763
L134,L7,3.46355395562
L135,L7,3.79335552811
L138,L7,3.56654517807
L139,L7,3.81726803631
L141,L7,4.16362500977
L145,L7,4.5691116917
L146,L7,5.14201839885
L147,L7,5.57232995237
L150,L7,5.99646530413
L151,L7,9.47559819126
L153,L7,8.02250402342
L154,L7,10.7595717358
L155,L7,10.1349283736
L156,L7,9.51979201616
L157,L7,9.4327158941
L159,L7,8.62963465108
L162,L7,9.4502925789
L168,L7,8.42712146413
L171,L7,8.62674576823
L173,L7,8.56368342339
L178,L7,8.37426649349
L179,L7,8.49236654417
L185,L7,8.772864763
L186,L7,8.69265509332
L191,L7,8.99145130968
L203,L7,8.41767891633
L206,L7,8.29239890468
L213,L7,8.07492929415
L222,L7,7.87975434536
L227,L7,7.74397680549
L229,L7,6.95231337126
L231,L7,10.3996392675
L246,L7,9.88519662021
L247,L7,8.25385851307
L249,L7,8.06308075597
L252,L7,7.76776029109
L262,L7,7.55694757837
L271,L7,7.27617209937
L273,L7,7.21053195655
L274,L7,7.06519998802
L292,L7,7.01673180285
L299,L7,7.02628797829
L309,L7,7.24214049123
L310,L7,7.41241573885
L313,L7,8.03170899297
L315,L7,8.14131673097
L321,L7,8.21937083441
L323,L7,8.3746869523
L328,L7,3.19934661621
L333,L7,3.44745142302
L334,L7,3.91481693996
L336,L7,4.15792463639
L338,L7,4.61068069302
L349,L7,5.20941458242
L355,L7,8.04351051829
L361,L7,9.84502616708
L365,L7,11.7530599914
L370,L7,7.99024954078
L371,L7,9.11580112462
L375,L7,11.1579959565
L382,L7,11.7800059805
L385,L7,9.72573728622
L387,L7,8.66885364803
L392,L7,8.97705727378
L393,L7,9.29937388339
L402,L7,10.2680707762
L408,L7,7.90999665463
L411,L7,7.85453977222
L412,L7,7.79088708024
L418,L7,7.75246608901
L423,L7,7.73638747607
L430,L7,7.56778224193
L431,L7,7.4986529411
L437,L7,7.41121598512
L444,L7,7.34290881823
L445,L7,7.29277945797
L469,L7,7.23109008928
L483,L7,5.41799870126
L493,L7,5.56301938341
L495,L7,5.46227922852
L496,L7,5.37693874994
L511,L7,5.28271935565
L527,L7,3.31674994037
L529,L7,3.41794675653
L530,L7,3.51301198052
L540,L7,3.6163365868
L543,L7,7.18967540151
L554,L7,7.63144170349
L556,L7,6.6147715859
L560,L7,3.78392441915
L0,L7,3.66149050061
L7,L18,0.604731505264
L18,L18,0
L26,L18,8.82501828919
L33,L18,7.53457404231
L36,L18,6.722254498
L38,L18,6.31310412892
L57,L18,6.04610806745
L62,L18,5.94446049117
L63,L18,5.96620982716
L70,L18,6.00363676627
L75,L18,6.08435205449
L76,L18,6.43753326221
L77,L18,6.65490731371
L78,L18,6.60811068244
L79,L18,7.49196124556
L80,L18,8.89647920809
L81,L18,4.42036990728
L82,L18,3.74243257748
L91,L18,3.60687056969
L93,L18,3.90940082431
L99,L18,2.007143978
L102,L18,1.83780950973
L103,L18,2.01326409225
L106,L18,2.44364414056
L113,L18,9.56728278413
L116,L18,2.29511655565
L122,L18,2.61746306052
L128,L18,2.99277543203
L134,L18,3.35594854806
L135,L18,3.61074633242
