from,to,time
L7,L7,0
L18,L7,8.02365752632
L26,L7,52.1025686092
L33,L7,45.5339850664
L36,L7,41.2890421584
L38,L7,39.0608721397
L57,L7,37.5189480363
L62,L7,36.684989032
L63,L7,36.5417189808
L70,L7,36.3578758102
L75,L7,36.5328030881
L76,L7,37.8552564999
L77,L7,38.6302528291
L78,L7,38.0397331925
L79,L7,42.3057604129
L80,L7,49.0565503578
L81,L7,29.7919510756
L82,L7,26.2609945713
L91,L7,25.4259273548
L93,L7,27.2162855848
L99,L7,17.8012728827
L102,L7,17.169311833
L103,L7,18.0166375548
L106,L7,19.846529061
L113,L7,55.8410225214
L116,L7,16.3523016526
L122,L7,18.380810513
L128,L7,20.4056573815
L134,L7,22.3177697781
L135,L7,23.9667776405
L138,L7,22.8327258904
L139,L7,24.0863401815
L141,L7,25.8181250488
L145,L7,27.8455584585
L146,L7,30.7100919943
L147,L7,32.8616497619
L150,L7,34.9823265206
L151,L7,52.3779909563
L153,L7,45.1125201171
L154,L7,58.7978586792
L155,L7,55.6746418682
L156,L7,52.5989600808
L157,L7,52.1635794705
L159,L7,48.1481732554
L162,L7,52.2514628945
L168,L7,47.1356073207
L171,L7,48.1337288412
L173,L7,47.8184171169
L178,L7,46.8713324674
L179,L7,47.4618327209
L185,L7,48.864323815
L186,L7,48.4632754666
L191,L7,49.9572565484
L203,L7,47.0883945816
L206,L7,46.4619945234
L213,L7,45.3746464708
L222,L7,44.3987717268
L227,L7,43.7198840274
L229,L7,39.7615668563
L231,L7,56.9981963376
L246,L7,54.4259831011
L247,L7,46.2692925654
L249,L7,45.3154037799
L252,L7,43.8388014555
L262,L7,42.7847378918
L271,L7,41.3808604969
L273,L7,41.0526597828
L274,L7,40.3259999401
L292,L7,40.0836590143
L299,L7,40.1314398914
L309,L7,41.2107024561
L310,L7,42.0620786943
L313,L7,45.1585449649
L315,L7,45.7065836548
L321,L7,46.0968541721
L323,L7,46.8734347615
L328,L7,20.9967330811
L333,L7,22.2372571151
L334,L7,24.5740846998
L336,L7,25.7896231819
L338,L7,28.0534034651
L349,L7,31.0470729121
L355,L7,45.2175525915
L361,L7,54.2251308354
L365,L7,63.7652999569
L370,L7,44.9512477039
L371,L7,50.5790056231
L375,L7,60.7899797824
L382,L7,63.9000299023
L385,L7,53.6286864311
L387,L7,48.3442682401
L392,L7,49.8852863689
L393,L7,51.496869417
L402,L7,56.3403538812
L408,L7,44.5499832732
L411,L7,44.2726988611
L412,L7,43.9544354012
L418,L7,43.762330445
L423,L7,43.6819373804
L430,L7,42.8389112097
L431,L7,42.4932647055
L437,L7,42.0560799256
L444,L7,41.7145440911
L445,L7,41.4638972899
L469,L7,41.1554504464
L483,L7,32.0899935063
L493,L7,32.815096917
L495,L7,32.3113961426
L496,L7,31.8846937497
L511,L7,31.4135967783
L527,L7,21.5837497018
L529,L7,22.0897337827
L530,L7,22.5650599026
L540,L7,23.081682934
L543,L7,40.9483770076
L554,L7,43.1572085175
L556,L7,38.0738579295
L560,L7,23.9196220958
L0,L7,23.3074525031
L7,L18,8.02365752632
L18,L18,0
L26,L18,49.125091446
L33,L18,42.6728702115
L36,L18,38.61127249
L38,L18,36.5655206446
L57,L18,35.2305403372
L62,L18,34.7223024558
L63,L18,34.8310491358
L70,L18,35.0181838313
L75,L18,35.4217602724
L76,L18,37.187666311
L77,L18,38.2745365685
L78,L18,38.0405534122
L79,L18,42.4598062278
L80,L18,49.4823960405
L81,L18,27.1018495364
L82,L18,23.7121628874
L91,L18,23.0343528485
L93,L18,24.5470041215
L99,L18,15.03571989
L102,L18,14.1890475487
L103,L18,15.0663204613
L106,L18,17.2182207028
L113,L18,52.8364139207
L116,L18,16.4755827782
L122,L18,18.0873153026
