CUST_ID,TRANSACTION_ID,PRODUCT_ID,ITEM_NAME,LINE,CATEGORY,NUMBER_OF_ITEMS,RRP,TOTAL_AMOUNT,TRANSACTION_TIME
487,30044,3177,Anastasia Beverly Hills Dress,Clothes,Clothes,1,639.99,639.99,11/1/2010
626,1766,3178,Guess Fit and Flair Dress,Clothes,Clothes,1,539.99,539.99,11/1/2010
719,30033,3179,Bar III Cropped Jacket,Clothes,Clothes,1,299.99,299.99,11/1/2010
113,1222,3180,Anne Klein Fayza Dress Shoes,Clothes,Clothes,1,779.99,779.99,11/1/2010
118,12986,3181,Anne Klein Barb Dress Shoes,Clothes,Clothes,1,399.99,399.99,11/1/2010
636,25615,3182,Calvin Klein Gayle High Heel Shoes,Clothes,Clothes,1,399.99,399.99,11/1/2010
714,28572,3183,Calvin Klein Catherine High Heel Shoes,Clothes,Clothes,1,449.99,449.99,11/1/2010
642,22265,3184,Calvin Klein Zipper Sheath Dress,Clothes,Clothes,1,999.99,999.99,11/1/2010
458,19729,3185,Calvin Klein Sleevess Belted Striped Dress,Clothes,Clothes,1,639.99,639.99,11/1/2010
20,22863,3186,Calvin Klein Horseshoe Neckline Dress,Clothes,Clothes,3,239.99,719.97,11/1/2010
499,41256,3187,Calvin Klein Textured Sheath Dress,Clothes,Clothes,1,584.99,584.99,11/1/2010
427,11513,3188,Elie Tahari Women's Kyle Knit Dress,Clothes,Clothes,2,509.99,1019.98,11/1/2010
439,5073,3191,Elie Tahari Women's Kyle Twist Knit Dress,Clothes,Clothes,3,149.99,449.97,11/1/2010
849,19790,3192,Nike Women's Black Leggings,Clothes,Clothes,2,499.99,999.98,11/1/2010
178,27175,3193,Nike Women's Blue Leggings,Clothes,Clothes,1,1099.99,1099.99,11/1/2010
812,42175,3194,Nike Women's Miulticolor Leggings,Clothes,Clothes,1,449.99,449.99,11/1/2010
429,10690,3195,Nike Women's Flash Running Tights,Clothes,Clothes,1,479.99,479.99,11/1/2010
172,40124,3196,Elie Tahari One Button Jacket,Clothes,Clothes,1,149.99,149.99,11/1/2010
458,22671,3197,Elie Tahari Eggplant Career Suit,Clothes,Clothes,2,449.99,899.98,11/1/2010
622,10017,3198,Elie Tahari Black Career Suit,Clothes,Clothes,1,299.99,299.99,11/1/2010
