Customer ID,Gender,Affinity,Annual Spend,Loyalty Program Member,Response Channel,CLV
39808,M,Women's Sportwear,427.123,NO,Direct Mail,42712.3
67362,F,Women's Career,253.567,NO,Email,25356.7
10872,M,Women's Shoes,206.176,NO,Email,20617.6
26748,F,Men's Casual,236.883,NO,Mobile,23688.3
91609,M,Women's Shoes,188.133,YES,Mobile,18813.3
26630,F,Men's Sportswear,464.867,NO,Mobile,46486.7
62995,F,Men's Career,140.467,YES,Email,14046.7
38765,M,Home goods,222.034,YES,Email,22203.4
28935,F,Women's Sportwear,229.75,NO,Direct Mail,22975
41792,M,Women's Career,145.692,NO,Email,14569.2
59480,F,Women's Shoes,103.282,NO,Email,10328.2
60755,F,Men's Casual,137.796,YES,Email,13779.6
70998,M,Women's Shoes,365.09,YES,Mobile,36509
80617,F,Men's Sportswear,102.011,YES,Direct Mail,10201.1
61144,F,Men's Career,103.736,NO,Email,10373.6
36405,F,Home goods,348.222,YES,Direct Mail,34822.2
76567,M,Women's Sportwear,422.48,YES,Mobile,42248
85699,F,Women's Career,181.688,YES,Email,18168.8
11357,F,Women's Shoes,107.53,YES,Email,10753
97761,F,Men's Casual,323.184,YES,Mobile,32318.4
20362,M,Women's Shoes,317.2,YES,Email,31720
33173,F,Men's Sportswear,368.328,YES,Email,36832.8
69934,F,Men's Career,311.787,YES,Direct Mail,31178.7
14743,M,Home goods,216.813,YES,Email,21681.3
83071,M,Women's Sportwear,298.536,YES,Email,29853.6
17571,F,Women's Career,152.7,YES,Mobile,15270
37917,F,Women's Shoes,322.318,NO,Direct Mail,32231.8
11236,M,Men's Casual,425.669,YES,Mobile,42566.9
47914,F,Women's Shoes,445.913,YES,Email,44591.3
58154,M,Men's Sportswear,491.367,NO,Direct Mail,49136.7
35197,M,Men's Career,403.398,NO,Email,40339.8
64892,F,Home goods,389.995,YES,Email,38999.5
102467,F,Women's Sportwear,137.623,YES,Mobile,13762.3
56677,F,Women's Career,303.099,NO,Email,30309.9
94105,M,Women's Shoes,103.719,YES,Mobile,10371.9
63817,M,Men's Casual,291.748,YES,Direct Mail,29174.8
44887,M,Women's Shoes,468.983,YES,Mobile,46898.3
69720,F,Men's Sportswear,137.837,NO,Mobile,13783.7
97267,F,Men's Career,330.618,YES,Direct Mail,33061.8
53750,F,Home goods,385.113,YES,Direct Mail,38511.3
109530,M,Women's Sportwear,374.844,NO,Mobile,37484.4
65493,M,Women's Career,267.732,YES,Email,26773.2
96694,M,Women's Shoes,282.755,NO,Mobile,28275.5
46730,F,Men's Casual,416.178,NO,Mobile,41617.8
60499,M,Women's Shoes,118.442,YES,Email,11844.2
