Customer ID,Anastasia Beverly Hills,Discount of Women's Active Shoes,Dress sale - 30 percent off,Home Closeout,Johnston and Murphy,Lancome Gift with Purchase,Shoe and Handbag sale,Free shipping on orders over $49,Save 10% with store pickup,Women's Sweather Sale,Save 20% Career Suits
39808,F,T,T,T,F,F,F,F,F,T,T
67362,F,T,T,F,F,F,F,F,F,F,T
10872,F,T,T,T,F,T,T,F,F,T,F
26748,F,T,T,F,F,F,F,T,F,F,F
91609,F,T,T,F,F,F,F,F,F,F,F
26630,F,T,T,F,F,F,F,T,F,T,F
62995,T,T,T,F,F,F,F,F,T,F,F
38765,F,T,T,F,F,F,T,F,F,F,F
28935,T,T,T,F,F,T,F,F,F,F,F
41792,T,T,T,F,F,F,F,F,F,T,F
59480,T,T,T,T,F,F,F,T,F,T,F
60755,T,T,T,F,F,F,F,F,F,T,F
70998,F,T,T,F,T,T,F,F,F,T,F
80617,F,T,T,F,F,F,F,F,T,T,F
61144,T,T,T,F,F,F,F,F,T,T,F
36405,F,T,T,F,F,T,T,F,T,F,F
76567,T,T,T,T,F,F,F,F,F,T,F
85699,F,T,T,F,F,F,F,F,F,T,F
11357,F,T,T,F,F,F,T,F,F,T,F
97761,T,T,T,T,F,F,F,T,F,T,T
20362,F,T,T,F,F,T,F,F,F,T,F
33173,F,T,T,F,F,F,F,T,F,F,T
69934,F,T,T,F,F,F,F,F,F,T,F
14743,T,T,T,T,T,T,T,T,F,F,F
83071,F,F,F,F,F,F,T,F,F,F,T
17571,T,F,T,F,F,T,T,F,F,F,F
37917,F,T,F,F,F,F,F,T,F,F,T
11236,F,F,F,F,F,F,F,F,F,F,F
47914,F,T,F,F,F,F,F,T,F,T,T
58154,F,F,F,F,T,F,F,F,F,F,F
35197,F,F,F,F,F,T,T,T,F,T,F
64892,F,F,F,F,F,T,F,T,F,F,F
102467,F,F,F,T,T,F,T,T,F,F,F
56677,T,F,F,F,F,F,F,F,F,F,F
94105,F,T,F,F,F,F,F,F,T,F,F
63817,F,F,F,F,F,F,F,F,F,F,F
44887,T,F,F,F,F,F,F,F,F,F,F
69720,F,T,F,F,F,F,F,F,F,F,F
97267,F,F,F,F,F,F,F,F,F,T,T
53750,F,F,F,T,F,F,F,F,F,T,T
109530,F,T,F,T,F,F,F,F,F,T,F
65493,F,F,F,T,F,F,F,F,F,T,F
96694,F,F,F,T,F,F,F,F,F,T,F
46730,T,F,F,T,F,F,F,F,F,T,F
60499,T,T,F,T,F,F,F,F,F,T,F
73004,F,F,F,T,F,F,F,F,F,T,F
21787,F,F,F,T,F,F,F,F,F,T,F
28314,F,F,F,T,F,F,F,F,F,T,T
24651,F,F,F,T,F,F,F,F,F,T,T
29367,F,F,F,T,F,F,F,F,F,T,F
15072,F,F,F,T,F,F,F,F,F,T,F
33622,T,F,F,T,F,F,F,F,F,T,F
42167,F,T,F,T,F,F,F,F,F,T,F
43550,F,F,F,T,F,F,F,F,F,T,F
18724,F,F,T,T,F,F,F,F,F,T,F
91019,F,F,F,T,F,F,F,F,F,T,F
68193,T,F,F,T,F,F,F,F,F,T,F
35262,T,F,F,T,F,F,F,F,F,T,F
93401,F,F,F,T,F,F,F,F,F,T,T
15177,F,F,F,F,F,F,F,F,F,F,T
96173,F,F,F,F,F,F,F,F,T,F,F
50180,F,F,F,T,T,F,F,F,T,F,T
31828,F,F,T,F,T,F,F,F,F,T,F
62022,F,F,F,F,F,F,F,T,F,F,T
105225,T,F,T,F,F,F,F,F,F,F,T
64668,F,F,T,T,T,T,T,F,T,F,F
53320,F,F,F,F,T,F,F,F,T,T,F
15068,F,F,F,F,F,F,T,F,F,F,F
99849,T,F,T,F,F,F,F,F,F,F,F
63694,T,F,T,T,F,F,F,F,F,F,F
